src_asn,src_org,src_geo,src_port,last_seen,first_seen,l4_proto,src_ip,dst_ip,dst_asn,dst_org,dst_geo,dst_port,d2s_bytes,s2d_bytes
-1,N/A,N/A,59516,1709720695268,2024-03-06 10:24:55.253+00,TCP,192.168.100.100,172.217.161.5,15169,GOOGLE,N/A,443,66,60
-1,N/A,N/A,62072,1709720701511,2024-03-06 10:25:00.126+00,TCP,192.168.100.100,20.189.173.9,8075,MICROSOFT-CORP-MSN-AS-BLOCK,San Jose,443,7635,3266
-1,N/A,N/A,62073,1709720701572,2024-03-06 10:25:00.383+00,TCP,192.168.100.100,20.189.173.9,8075,MICROSOFT-CORP-MSN-AS-BLOCK,San Jose,443,7211,1454
-1,N/A,N/A,50934,1709720682702,2024-03-06 10:24:42.694+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,119,79
-1,N/A,N/A,49780,1709720691080,2024-03-06 10:24:51.044+00,TCP,192.168.100.100,175.100.163.15,131283,HDFC Bank House,N/A,443,60,60
-1,N/A,N/A,55555,1709720692934,2024-03-06 10:24:52.927+00,TCP,192.168.100.100,142.250.206.130,15169,GOOGLE,N/A,443,66,60
-1,N/A,N/A,54822,1709720680802,2024-03-06 10:24:40.701+00,TCP,192.168.100.100,23.223.243.96,9498,BHARTI Airtel Ltd.,New Delhi,443,1659,1637
-1,N/A,N/A,55262,1709720690010,2024-03-06 10:24:49.649+00,TCP,192.168.100.100,52.168.117.168,8075,MICROSOFT-CORP-MSN-AS-BLOCK,Washington,443,60,120
-1,N/A,N/A,61763,1709720676769,2024-03-06 10:23:30.515+00,UDP,192.168.100.100,35.186.194.58,15169,GOOGLE,Kansas City,443,57260,1675819
-1,N/A,N/A,56834,1709720678267,2024-03-06 10:24:37.995+00,TCP,192.168.100.100,209.177.149.138,36236,NETACTUATE,Sunnyvale,443,60,60
-1,N/A,N/A,51901,1709720690950,2024-03-06 10:24:47.871+00,UDP,192.168.100.100,142.250.192.196,15169,GOOGLE,N/A,443,8469,5199
-1,N/A,N/A,54828,1709720682715,2024-03-06 10:24:42.534+00,TCP,192.168.100.100,23.223.243.96,9498,BHARTI Airtel Ltd.,New Delhi,443,1673,1715
-1,N/A,N/A,56926,1709720699590,2024-03-06 10:24:04.011+00,TCP,192.168.1.58,104.208.16.89,8075,MICROSOFT-CORP-MSN-AS-BLOCK,Des Moines,443,0,420
-1,N/A,N/A,56835,1709720682238,2024-03-06 10:24:41.969+00,TCP,192.168.100.100,209.177.149.138,36236,NETACTUATE,Sunnyvale,443,60,60
